ID	latitude	longitude	date	Source
336	35.339717	-119.630833	7/25/18	JT_CA33
337	35.339717	-119.630833	7/25/18	JT_CA33
338	35.339717	-119.630833	7/25/18	JT_CA33
339	35.339717	-119.630833	7/25/18	JT_CA33
340	35.339717	-119.630833	7/25/18	JT_CA33
341	35.339717	-119.630833	8/23/18	JT_CA33
342	35.339717	-119.630833	8/23/18	JT_CA33
343	35.339717	-119.630833	8/23/18	JT_CA33
344	35.339717	-119.630833	8/23/18	JT_CA33
345	35.339717	-119.630833	8/23/18	JT_CA33
346	35.339717	-119.630833	8/23/18	JT_CA33
347	35.339717	-119.630833	8/23/18	JT_CA33
348	35.339717	-119.630833	8/23/18	JT_CA33
349	35.339717	-119.630833	8/23/18	JT_CA33
350	35.339717	-119.630833	8/23/18	JT_CA33
351	35.339717	-119.630833	8/23/18	JT_CA33
352	35.339717	-119.630833	8/23/18	JT_CA33
353	35.339717	-119.630833	8/23/18	JT_CA33
354	35.339717	-119.630833	8/23/18	JT_CA33
355	35.339717	-119.630833	9/23/18	JT_CA33
356	35.339717	-119.630833	9/23/18	JT_CA33
357	35.339717	-119.630833	9/23/18	JT_CA33
358	35.339717	-119.630833	9/23/18	JT_CA33
359	35.339717	-119.630833	9/23/18	JT_CA33
360	35.339717	-119.630833	9/23/18	JT_CA33
361	35.339717	-119.630833	9/23/18	JT_CA33
362	35.339717	-119.630833	9/23/18	JT_CA33
363	35.339717	-119.630833	9/23/18	JT_CA33
364	35.339717	-119.630833	9/23/18	JT_CA33
365	35.339717	-119.630833	9/23/18	JT_CA33
366	35.339717	-119.630833	10/23/18	JT_CA33
367	35.339717	-119.630833	10/23/18	JT_CA33
368	35.339717	-119.630833	10/23/18	JT_CA33
369	35.339717	-119.630833	10/23/18	JT_CA33
370	35.339717	-119.630833	10/23/18	JT_CA33
371	35.339717	-119.630833	10/23/18	JT_CA33
372	35.339717	-119.630833	10/23/18	JT_CA33
373	35.339717	-119.630833	10/23/18	JT_CA33
374	35.339717	-119.630833	10/23/18	JT_CA33
375	35.339717	-119.630833	10/23/18	JT_CA33
376	35.339717	-119.630833	10/23/18	JT_CA33
377	35.339717	-119.630833	10/23/18	JT_CA33
378	35.339717	-119.630833	10/23/18	JT_CA33
379	35.339717	-119.630833	10/23/18	JT_CA33
380	35.339717	-119.630833	10/23/18	JT_CA33
381	35.339717	-119.630833	10/23/18	JT_CA33
382	35.339717	-119.630833	10/23/18	JT_CA33
383	35.339717	-119.630833	10/23/18	JT_CA33
384	35.339717	-119.630833	10/23/18	JT_CA33
385	35.339717	-119.630833	10/23/18	JT_CA33
386	35.339717	-119.630833	10/23/18	JT_CA33
387	35.339717	-119.630833	10/23/18	JT_CA33
388	35.339717	-119.630833	10/23/18	JT_CA33
389	35.339717	-119.630833	10/23/18	JT_CA33
390	35.474297	-119.722769	11/8/17	JT_CA33
391	35.474297	-119.722769	11/8/17	JT_CA33
392	35.474297	-119.722769	11/8/17	JT_CA33
393	35.474297	-119.722769	11/8/17	JT_CA33
394	35.474297	-119.722769	11/8/17	JT_CA33
395	35.474297	-119.722769	11/8/17	JT_CA33
396	35.474297	-119.722769	11/8/17	JT_CA33
397	35.474297	-119.722769	11/8/17	JT_CA33
398	35.474297	-119.722769	12/14/17	JT_CA33
399	35.474297	-119.722769	12/14/17	JT_CA33
400	35.474297	-119.722769	12/14/17	JT_CA33
401	35.474297	-119.722769	12/14/17	JT_CA33
402	35.474297	-119.722769	12/14/17	JT_CA33
403	35.474297	-119.722769	12/14/17	JT_CA33
404	35.474297	-119.722769	12/14/17	JT_CA33
405	35.474297	-119.722769	12/14/17	JT_CA33
406	35.474297	-119.722769	12/14/17	JT_CA33
407	35.474297	-119.722769	12/14/17	JT_CA33
408	35.474297	-119.722769	12/14/17	JT_CA33
409	35.474297	-119.722769	12/14/17	JT_CA33
410	35.474297	-119.722769	12/14/17	JT_CA33
